"Keep your eyes open for our special Back to School items and save A LOT!","Keep your eyes open for our special Back to School items and save A LOT!"
"Add to Cart" , "Comprar"
"Items %s to %s of %s total","<strong>%s</strong> a <strong>%s</strong> de <strong>%s</strong> itens"
"Please select one of the options.", "Por favor, selecione uma das opções"
"Discount","Desconto"
"* Required Fields", "* Campos Obrigatórios"
"Buy %1$s for %2$s each", "Compre %1$s por %2$s cada"
"and", "e"
"You're now Logged Out","Você se desconectou com sucesso"
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Aguarde, você será redirecionado para a Página Inicial em 5 segundos."
"Please <a href=""%s"">continue shopping</a>.","Clique <a href=""%s"">aqui</a> para voltar para a Página Inicial."
"Tax","Add/Desc"
"previous","anterior"
"next","seguinte"
"Sort by ","Classificar por"
"Doubts ?","Dúvidas ?"
"You may like also","Você pode gostar tambén"
"Read the <span>reviews</span>","Leia as <span>opiniões</span>"