"Country","País"
"* Required Fields","Campos obrigatório"
"%s was canceled.","%s foi cancelado."
"Access Information","Informações de Acesso"
"Account Information","Informações da Conta"
"Authenticate Before","Autenticar antes"
"Cancel","Cancelar"
"City","Cidade"
"Close","Fechar"
"Company","Empresa"
"Confirm Password","Confirmar Senha"
"CPF","CPF"
"DD","Dia"
"Erro ao cadastrar o endereço. Mensagem:","Error in address register. Message:"
"Erro ao criar o pedido. Mensagem:","Error in Order create. Message:"
"Erro ao cadastrar os produtos do pedido. Mensagem:","Error in saving products in the Order. Message:"
"Erro ao criar o cliente. Mensagem:","Error in customer create. Message:"
"Processing"."Processando"
"Invoiced","Faturado"
"Shipped","A entregar"
"Delivered","Entregue"
"Shipment Exception","Problema no Envio"
"Unavailable","Sem Estoque"
"Cancelled","Cancelado"
"Category Integration Completed.","Integração das Categorias completada."
"Product Integration Completed.","Integração dos Produtos completada."
"First integration already done.","Primeira integração já realizada."
"First Integration","Primeira Integração"
"Integrate","Integrar"
"API User","Usuário API"
"Insert the attributes to be exported, separated by commas with no space.","Insira os atributos de produto para serem exportados, separados por virgula sem espaço."
"Integracommerce Orders","Pedidos Integracommerce"
"Select the attribute that corresponds to nbm origin in Integracommerce","Selecione o atributo que irá corresponder a Origem do NBM no Integracommerce"
"Attribute corresponding to the NBM Origin.","Atribute correspondente a Origem do NBM"
"Select the attribute that corresponds to nbm number in Integracommerce","Selecione o atributo que irá corresponder ao Numero do NBM no Integracommerce"
"Attribute corresponding to the NBM Number.","Atribute correspondente ao Numero do NBM"
"Select the attribute that corresponds to warranty in Integracommerce","Selecione o atributo que irá corresponder a Garantia no Integracommerce"
"Attribute corresponding to the Warranty.","Atributo correspondente a Garantia."
"Select the attribute that corresponds to brand in Integracommerce","Selecione o atributo que irá corresponder a Marca no Integracommerce"
"Attribute corresponding to the Brand.","Atributo correspondente a Marca."
"Select the attribute that corresponds to height in Integracommerce","Selecione o atributo que irá corresponder a Altura no Integracommerce"
"Attribute corresponding to the Height.","Atributo correspondente a Altura."
"Select the attribute that corresponds to width in Integracommerce","Selecione o atributo que irá corresponder a Largura no Integracommerce"
"Attribute corresponding to the width.","Atributo corespondente a Largura."
"Select the attribute that corresponds to length in Integracommerce","Selecione o atributo que irá corresponder ao Comprimento no Integracommerce"
"Attribute corresponding to the length.","Atributo correspondente ao Comprimento."
"Select the attribute that corresponds to weight in Integracommerce","Selecione o atributo que irá corresponder ao Peso no Integracommerce"
"Attribute corresponding to the weight.","Atributo correspondente ao Peso."
"Select the attribute that corresponds to ean in Integracommerce","Selecione o atributo que irá corresponder ao EAN no Integracommerce"
"Attribute corresponding to the ean.","Selecione o atributo correspondente ao EAN."
"Select the attribute that corresponds to ncm in Integracommerce","Selecione o atributo que irá corresponder ao NCM no Integracommerce"
"Attribute corresponding to the ncm.","Atributo correspondente ao NCM."
"Select the attribute that corresponds to isbn in Integracommerce","Selecione o atributo que irá corresponder ao ISBN no Integracommerce"
"Attribute corresponding to the isbn.","Atributo correspondente ao ISBN."
"NBM Origin","Origem do NBM"
"NBM Number","Numero do NBM"
"Warranty","Garantia"
"Brand","Marca"
"Height","Altura"
"Width","Largura"
"Length","Comprimento"
"Important Informations","Informações Importantes"
"Manage Orders","Gerenciar Pedidos"
"A few product(s) were not synchronized. Please, check the Errors Report.","Alguns produtos não foram sincronizados. Por favor, verifique o Relatório de Erros."
"Configurable Products","Produtos Configuráveis"
"Select an option...","Selecione uma opção..."
"Single Product","Produto Único"
"Per Variation","Por Variação"
"Select if you wan't to create a Single Product in Integracommerce for all your product variations or a Product for every variation.","Selecione se você deseja criar um Produto Único no Integracommerce para todas as suas variações de Produto ou um Produto para cada variação."
"SKU Attributes","Atributos de SKU"
"No data","Sem Informação"
"No Data","Sem Informação"
"Integracommerce Order #%s","Pedido Integracommerce #%s"
"Integracommerce Order","Pedido Integracommerce"
"Shipping Tracking URL","URL de Rastreio"
"Integracommerce Id #","Número Integracommerce"
"Customer Corporate Name","Empresa"
"Customer CPF","CPF do Cliente"
"Customer CNPJ","CNPJ do Cliente"
"integracommerce Order Id","Número Integracommerce"
"Integration","Integração"
"Environment","Ambiente"
"Measure","Tipo de Medida"
"Synchronization completed.","Sincronização completa"
"Category","Categorias"
"Product Insert","Exportar Produtos"
"Product Update","Atualizar Produtos"
"Errors Report","Relatório de Erros"
"Product Id","Código do Produto"
"Product Request","Produto - Requisição"
"Product Error","Produto - Erro"
"Sku Request","SKU - Requisição"
"Sku Error","SKU - Erro"
"Price Request","Preço - Requisição"
"Price Error","Preço - Erro"
"Stock Request","Estoque - Requisição"
"Stock Error","Estoque - Erro"