"Category Slider Manager","Gerenciar Grupo de Banners"
"Slider Title","Título do Grupo"
"Add Category Slider","Adicionar Grupo de Banners"
"Enabled","Habilitado"
"Disabled","Desabilitado"
"Enable","Habilitar"
"Disable","Desabilitar"
"Banner Slider","Controle de Banners"
"Manage Slide Category","Gerenciar Grupo de Banners"
"Manage Slides","Gerenciar Banners"
"Display All Slide Title","Exibir Títulos nos Banners"
"Display All Slide Description","Exibir Descrição nos Banners"
"Animation In","Animação de Entrada"
"Animation Out","Animação de Saída"
"Navigation","Navegação"
"Pagination","Paginação"
"Navigation Bg Color","Cor do Fundo"
"Navigation Bg Hover Color","Cor do Fundo Ao Passar o Mouse"
"Navigation Arrow Color","Cor Das Setas"
"Navigation Arrow Hover Color","Cor Das Setas Ao Passar o Mouse"
"Pagination Bg Color","Cor de Fundo"
"Pagination Bg Hover Color","Cor de Fundo Ao Passar o Mouse"
"Auto Play","Iniciar banners automático"
"Enter time in milliseconds, Enter 0 for false","Tempo em milissegundos, coloque - para desabilitar"
"Select yes/no to display slide title in particular slider","Selecione sim/não para mostrar o título nesse grupo"
"Yes","Sim"
"No","Não"
"Select yes/no to display slide description in particular slider","Selecione sim/não para mostrar a descrição nesse grupo"
"Enable slide navigation","Habilitar navegação"
"Select Color","Selecionar cor"
"Enable slide pagination","Habilitar paginação"
"Category Slider","Grupo de Banners"
"Category Slider Details","Detalhes do Grupo de Banners"
"Slide Title","Título do Banner"
"Slide Description","Descrição do Banner"
"Slider Category","Grupo do Banner"
"Add Slide","Adicionar Banner"
"Slide Manager","Gerenciar Banners"
"Slide Title","Título do Banner"
"Slide Image","Imagem do Banner"
"Slider Category","Grupo do Banner"
"Slider Description","Descrição do Banner"
"Slide Url","Url do Banner"
"Text Color","Cor do Texto"
"Text Align","Alinhamento do Texto"
"Enter URL like","Insira uma url como: "
"Caption Information","Informações"
"New Image","Nova Imagem"